[05/Mar/2025:23:25:06 +0000] - - 502 - GET http auth.localhost "/docs" [Client 192.168.107.1] [Length 556] [Gzip -] [Sent-to auth] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "-"
[05/Mar/2025:23:25:06 +0000] - - 502 - GET http auth.localhost "/favicon.ico" [Client 192.168.107.1] [Length 556] [Gzip -] [Sent-to auth] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "http://auth.localhost/docs"
[05/Mar/2025:23:28:51 +0000] - - 502 - GET http auth.localhost "/docs" [Client 192.168.107.1] [Length 556] [Gzip -] [Sent-to auth] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "-"
[05/Mar/2025:23:28:51 +0000] - - 502 - GET http auth.localhost "/favicon.ico" [Client 192.168.107.1] [Length 556] [Gzip -] [Sent-to auth] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "http://auth.localhost/docs"
[05/Mar/2025:23:28:54 +0000] - - 502 - GET http auth.localhost "/" [Client 192.168.107.1] [Length 556] [Gzip -] [Sent-to auth] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "-"
[05/Mar/2025:23:28:54 +0000] - - 502 - GET http auth.localhost "/favicon.ico" [Client 192.168.107.1] [Length 556] [Gzip -] [Sent-to auth] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "http://auth.localhost/"
[05/Mar/2025:23:28:56 +0000] - - 502 - GET http auth.localhost "/" [Client 192.168.107.1] [Length 556] [Gzip -] [Sent-to auth] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "-"
[05/Mar/2025:23:28:56 +0000] - - 502 - GET http auth.localhost "/favicon.ico" [Client 192.168.107.1] [Length 556] [Gzip -] [Sent-to auth] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "http://auth.localhost/"
[05/Mar/2025:23:29:18 +0000] - - 502 - GET http auth.localhost "/" [Client 192.168.107.1] [Length 556] [Gzip -] [Sent-to auth] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "http://localhost:81/"
[05/Mar/2025:23:29:18 +0000] - - 502 - GET http auth.localhost "/favicon.ico" [Client 192.168.107.1] [Length 556] [Gzip -] [Sent-to auth] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "http://auth.localhost/"
[05/Mar/2025:23:30:53 +0000] - 404 404 - GET http auth.localhost "/" [Client 192.168.117.1] [Length 13] [Gzip -] [Sent-to auth] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "http://localhost:81/"
[05/Mar/2025:23:30:53 +0000] - 404 404 - GET http auth.localhost "/favicon.ico" [Client 192.168.117.1] [Length 13] [Gzip -] [Sent-to auth] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "http://auth.localhost/"
[05/Mar/2025:23:30:57 +0000] - 200 200 - GET http auth.localhost "/docs" [Client 192.168.117.1] [Length 446] [Gzip 2.00] [Sent-to auth] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "-"
[05/Mar/2025:23:30:58 +0000] - 200 200 - GET http auth.localhost "/openapi.json" [Client 192.168.117.1] [Length 14394] [Gzip -] [Sent-to auth] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "http://auth.localhost/docs"
